title,author,subject,year,abstract,tags,availability
Systems and Software Engineering with Applications,Norman F. Schneidewind,Software Engineering,2011,Topics: software engineering,software engineering,unavailable
Instagram,Kristen Rajczak,Software Engineering,2014,Topics: software engineering,software engineering,available
Software engineering quality practices,Ronald Kirk Kandt,Software Engineering,2005,Topics: software engineering,software engineering,available
Patterns for effective use cases,Steve Adolph,Software Engineering,2003,Topics: software engineering,software engineering,available
Client-Centered Software Development,Allen B. Tucker,Software Engineering,2019,Topics: software engineering,software engineering,available
Design of Enterprise Systems,Ronald Giachetti,Software Engineering,2016,Topics: software engineering,software engineering,available
The electrical engineering handbook,Richard C. Dorf,Software Engineering,2006,Topics: software engineering,software engineering,available
Innovative Technologies for Dependable OTS-Based Critical Systems,Domenico Cotroneo,Software Engineering,2013,Topics: software engineering,software engineering,available
Protocol Engineering,Hartmut König,Software Engineering,2012,Topics: software engineering,software engineering,available
AutoCAD 2014 for Dummies,Bill Fane; David Byrnes,Software Engineering,2013,Topics: software engineering,software engineering,available
Trends in Control,Alberto Isidori,Software Engineering,1995,Topics: software engineering,software engineering,available
Large-Scale Scientific Computing,Ivan Lirkov; Svetozar Margenov; Jerzy Wasniewski,Software Engineering,2003,Topics: software engineering,software engineering,unavailable
Software Architecture Knowledge Management,Muhammad Ali Babar,Software Engineering,2009,Topics: software engineering,software engineering,available
UML in Practice,Pascal Roques,Software Engineering,2004,Topics: software engineering,software engineering,available
Requirements for a Software Engineering Environment,Marvin V. Zelkowitz,Software Engineering,1989,Topics: software engineering,software engineering,available
The enterprise unified process,Scott W. Ambler,Software Engineering,2005,Topics: software engineering,software engineering,unavailable
Managing complexity in software engineering,Richard Mitchell,Software Engineering,1990,Topics: software engineering,software engineering,available
Continuous delivery pipeline - where does it choke?,Juni Mukherjee,Software Engineering,2012,Topics: software engineering,software engineering,unavailable
Fundamentals of computing for software engineers,Murat Tanik,Software Engineering,1991,Topics: software engineering,software engineering,available
Software engineering education,Lionel E. Deimel; Norman E. Gibbs,Software Engineering,1989,Topics: software engineering,software engineering,available
Ssadm & Grapes,R. Duschll,Software Engineering,1992,Topics: software engineering,software engineering,available
Handbook of Research on Innovations in Systems and Software Engineering,Vicente García Díaz; Juan Manuel Cueva; B. Cristina Pelayo,Software Engineering,2014,Topics: software engineering,software engineering,available
Get Back Up,George A. Santino,Software Engineering,2016,Topics: software engineering,software engineering,available
Reverse engineering,Linda Wills,Software Engineering,1996,Topics: software engineering,software engineering,available
Computer-aided reasoning,Matt Kaufmann; Panagiotis Manolios; J. Strother Moore,Software Engineering,2000,Topics: software engineering,software engineering,unavailable
Retargetable Processor System Integration into Multi-Processor System-on-Chip Platforms,Andreas Wieferink,Software Engineering,2008,Topics: software engineering,software engineering,available
Writing Software Manuals,Martyn Thirlway,Software Engineering,1994,Topics: software engineering,software engineering,available
Agile Pocket Guide,Peter Saddington,Software Engineering,2012,Topics: software engineering,software engineering,available
Self-stabilizing systems,Ted Herman,Software Engineering,1997,Topics: software engineering,software engineering,available
Larch,John Guttag; John V. Guttag; James J. Horning,Software Engineering,1993,Topics: software engineering,software engineering,available
"Software deployment, updating, and patching",Bill Stackpole,Software Engineering,2007,Topics: software engineering,software engineering,unavailable
Agile Software Development with SCRUM,Ken Schwaber; Mike Beedle,Software Engineering,2001,Topics: software engineering,software engineering,available
C for engineers,Brian Bramer; Susan Bramer,Software Engineering,1993,Topics: software engineering,software engineering,available
IEEE Standard Glossary of Software Engineering Terminology/IEEE Std 610.12-1990,Institute of Electrical and Electronics Engineers,Software Engineering,1990,Topics: software engineering,software engineering,available
MVP-CA methodology for the expert system advocate's advisor (ESAA),Mala Mehrotra,Software Engineering,1997,Topics: software engineering,software engineering,available
Embedded Robotics,Thomas Bräunl,Software Engineering,2003,Topics: software engineering,software engineering,available
Tests and Proofs,Catherine Dubois; Burkhart Wolff,Software Engineering,2009,Topics: software engineering,software engineering,available
Designing software product lines with UML,Hassan Gomaa,Software Engineering,2004,Topics: software engineering,software engineering,unavailable
Information systems development,Albert F. Case,Software Engineering,1986,Topics: software engineering,software engineering,available
Data Base Technology,John G. Hughes,Software Engineering,1988,Topics: software engineering,software engineering,unavailable
Multi-Agent Machine Learning,H. M. Schwartz,Software Engineering,2014,Topics: software engineering,software engineering,available
Technical Java,Grant Palmer,Software Engineering,2003,Topics: software engineering,software engineering,available
Engineering Electronic Negotiations:,Michael Ströbel,Software Engineering,2003,Topics: software engineering,software engineering,available
Complete systems analysis,James Robertson,Software Engineering,1994,Topics: software engineering,software engineering,available
Parsing Techniques,Dick Grune,Software Engineering,2007,Topics: software engineering,software engineering,available
Professional application lifecycle management with Visual studio 2010,Mickey Gousset,Software Engineering,2010,Topics: software engineering,software engineering,available
The Unified modeling language,Martin Schader; A. Korthaus,Software Engineering,1998,Topics: software engineering,software engineering,unavailable
Software Requirements,Rick Lutowski,Software Engineering,2005,Topics: software engineering,software engineering,available
Advances in Energy Science and Equipment Engineering,Shiquan Zhou; Aragona Patty; Shiming Chen,Software Engineering,2015,Topics: software engineering,software engineering,available
Reverse Engineering,"Messler, Robert W., Jr.",Software Engineering,2013,Topics: software engineering,software engineering,available
System and software requirements engineering,M. Dorfman; Richard H. Thayer; Richard H. Theyer,Software Engineering,1990,Topics: software engineering,software engineering,available
Nonfunctional Requirements in Mobile Application Development,Varun Gupta; Raj Kumar Chopra; Durg Singh Chauhan,Software Engineering,2021,Topics: software engineering,software engineering,available
Agile Model-Based Development Using UML-RSDS,Kevin Lano,Software Engineering,2016,Topics: software engineering,software engineering,available
CMMI for services,Eileen C. Forrester,Software Engineering,2010,Topics: software engineering,software engineering,available
Applied software risk management,C. Ravindranath Pandian,Software Engineering,2006,Topics: software engineering,software engineering,available
Handbook of Research on Engineering Innovations and Technology Management in Organizations,Loveleen Gaur; Arun Solanki; Vishal Jain,Software Engineering,2020,Topics: software engineering,software engineering,available
MATLAB Programming for Biomedical Engineers and Scientists,Andrew King; Paul Aljabar,Software Engineering,2017,Topics: software engineering,software engineering,available
3-D sound for virtual reality and multimedia,Durand R. Begault,Software Engineering,1994,Topics: software engineering,software engineering,available
Programming linguistics,David Gelernter,Software Engineering,1990,Topics: software engineering,software engineering,available
Drupal web profiles,Timi Ogunjobi,Software Engineering,2012,Topics: software engineering,software engineering,available
Software and Network Engineering,Roger Y. Lee,Software Engineering,2012,Topics: software engineering,software engineering,unavailable
Reconfigurable RF Power Amplifiers on Silicon for Wireless Handsets,Laurent Leyssenne,Software Engineering,2011,Topics: software engineering,software engineering,available
Designing software-intensive systems,Unknown,Software Engineering,2008,Topics: software engineering,software engineering,available
Clusteringbased Support For Software Architecture Restructuring,Niels Streekmann,Software Engineering,2011,Topics: software engineering,software engineering,available
The design and implementation of an expander for the hierarchical real-time constraints of computer aided prototyping system,Suleyman Bayramoğlu,Software Engineering,1991,Topics: software engineering,software engineering,available
Software engineering--ESEC '95,"European Software Engineering Conference (5th 1995 Sitges, Spain)",Software Engineering,1995,Topics: software engineering,software engineering,unavailable
Approach to Modelling Software Evolution Processes,Tong Li,Software Engineering,2009,Topics: software engineering,software engineering,available
The road map to software engineering,"Moore, James W.",Software Engineering,2004,Topics: software engineering,software engineering,available
Reliability and robustness of engineering software II,"International Conference on Reliability and Robustness of Engineering Software (2nd 1991 Milan, Italy)",Software Engineering,1899,Topics: software engineering,software engineering,available
Data structures and software development in an object-oriented domain,Jean-Paul Tremblay; Grant A. Cheston,Software Engineering,2001,Topics: software engineering,software engineering,available
Functional programming for java developers,Dean Wampler,Software Engineering,2011,Topics: software engineering,software engineering,available
Software process modeling,Natalia Juristo,Software Engineering,2005,Topics: software engineering,software engineering,available
Transactional Agents,Khaled Nagi,Software Engineering,2001,Topics: software engineering,software engineering,available
Tools and algorithms for the construction and analysis of systems,"TACAS '2000 (6th 2000 Berlin, Germany)",Software Engineering,2000,Topics: software engineering,software engineering,available
TSP(SM)-Leading a Development Team (SEI Series in Software Engineering),Watts S. Humphrey,Software Engineering,2005,Topics: software engineering,software engineering,available
TSP,Watts S. Humphrey,Software Engineering,2006,coaching development teams,software engineering,available
Coding faster,Zain Naboulsi,Software Engineering,2011,Topics: software engineering,software engineering,available
Systems and Software Quality,Martin Wieczorek; Diederik Vos; Heinz Bons,Software Engineering,2014,Topics: software engineering,software engineering,available
A process algebraic approach to software architecture design,Alessandro Aldini,Software Engineering,2010,Topics: software engineering,software engineering,available
Gitversioncontrolcookbook,Aske Olsson; Rasmus Voss,Software Engineering,2014,Topics: software engineering,software engineering,unavailable
Modelling systems,"Fitzgerald, John",Software Engineering,1998,Topics: software engineering,software engineering,available
Requirements Engineering : Foundation for Software Quality,Camille Salinesi; Inge van de Weerd,Software Engineering,2014,Topics: software engineering,software engineering,available
Reuse metrics for object oriented software,James M. Bieman,Software Engineering,1998,Topics: software engineering,software engineering,available
Requirements Engineering : Foundation for Software Quality,Barbara Paech; Colette Rolland,Software Engineering,2007,Topics: software engineering,software engineering,available
Atlassian Confluence 5 Essentials,Stefan Kohler,Software Engineering,2013,Topics: software engineering,software engineering,unavailable
The complete software project manager,Anna Murray,Software Engineering,2016,Topics: software engineering,software engineering,available
Modernizing Legacy Systems,Robert C. Seacord; Daniel Plakosh; Grace A. Lewis,Software Engineering,2003,Topics: software engineering,software engineering,available
Advances in machine learning applications in software engineering,Du Zhang; Jeffrey J.-P Tsai,Software Engineering,2007,Topics: software engineering,software engineering,available
Software product lines,Klaus Pohl,Software Engineering,2005,Topics: software engineering,software engineering,available
NASA Formal Methods,Julia M. Badger; Kristin Yvonne Rozier,Software Engineering,2014,Topics: software engineering,software engineering,available
Codesign,Klaus Buchenrieder,Software Engineering,1995,Topics: software engineering,software engineering,available
Formal Techniques in Real-Time and Fault-Tolerant Systems,Jan Vytopil,Software Engineering,1993,Topics: software engineering,software engineering,available
Advanced Information Systems Engineering,Jelena Zdravkovic; Marite Kirikova; Paul Johannesson,Software Engineering,2015,Topics: software engineering,software engineering,available
Advanced Information Systems Engineering Workshops,John Krogstie; Haralambos Mouratidis; Jianwen Su,Software Engineering,2016,Topics: software engineering,software engineering,available
The Third Israel Conference on Computer Systems and Software Engineering,"Israel Conference on Computer Systems and Software Engineering (3rd 1988 Tel Aviv, Israel)",Software Engineering,1988,Topics: software engineering,software engineering,unavailable
Builders of the Vision,Daniel Cardoso Llach,Software Engineering,2015,Topics: software engineering,software engineering,available
Foundations of Software and System Performance Engineering,André Bondi,Software Engineering,2014,Topics: software engineering,software engineering,available
Classical and object-oriented software engineering with UML and C[plus plus],Stephen R. Schach,Software Engineering,1999,Topics: software engineering,software engineering,unavailable
Systems Reliability Engineering,Amit Kumar; Mangey Ram,Software Engineering,2021,Topics: software engineering,software engineering,available
An Assessment of Space Shuttle Flight Software Development Processes,National Research Council (US),Software Engineering,1993,Topics: software engineering,software engineering,available
Software Architecture (vol. # 3527),R. Morrison,Software Engineering,2005,Topics: software engineering,software engineering,unavailable
Fifth International Conference on Software Reuse,"International Conference on Software Reuse (5th 1998 Victoria, B.C.); B. C.) International Conference on Software Reuse (5th : 1998 : Victoria; Jeffrey S. Poulin",Software Engineering,1998,Topics: software engineering,software engineering,available
Software quality management,"International Conference on Software Quality Management (1st 1993 Southampton, England); M. Ross; C. A. Brebbia",Software Engineering,1993,Topics: software engineering,software engineering,unavailable
Multi-agent programming,Rafael H. Bordini,Software Engineering,2005,Topics: software engineering,software engineering,available
Implementing Software Defined Radio,Eugene Grayver,Software Engineering,2012,Topics: software engineering,software engineering,available
Information and Software Technologies,Giedre Dregvaite; Robertas Damasevicius,Software Engineering,2014,Topics: software engineering,software engineering,available
Internet of Things,Jamil Y. Khan; Mehmet R. Yuce,Software Engineering,2019,Topics: software engineering,software engineering,unavailable
Handbook of Conceptual Modeling,David W. Embley,Software Engineering,2011,Topics: software engineering,software engineering,available
Code Generation With Templates,A. Serebrenik,Software Engineering,2012,Topics: software engineering,software engineering,unavailable
Outside-in software development,Carl Kessler; John Sweitzer,Software Engineering,2007,Topics: software engineering,software engineering,unavailable
"Advances in Computers, Volume 54 (Advances in Computers)",Marvin V. Zelkowitz,Software Engineering,2001,Topics: software engineering,software engineering,available
Modelling Foundations and Applications,Gabriele Taentzer; Francis Bordeleau,Software Engineering,2015,Topics: software engineering,software engineering,available
Agent-oriented software engineering,"AOSE 2000 (2000 Limerick, Ireland)",Software Engineering,2001,Topics: software engineering,software engineering,available
Process improvement and CMMI for systems and software,Ron Kenett,Software Engineering,2010,Topics: software engineering,software engineering,available
A guide to the CMM,Kenneth M. Dymond,Software Engineering,1995,Topics: software engineering,software engineering,available
Software Development Techniques for Constructive Information Systems Design,Khalid Buragga; Noor Zaman,Software Engineering,2013,Topics: software engineering,software engineering,available
Database support for software engineering,Alan W. Brown,Software Engineering,1989,Topics: software engineering,software engineering,available
Software engineering for multi-agent systems III,Alessandro Garcia; Carlos Lucena; Alexander Romanovsky,Software Engineering,2005,Topics: software engineering,software engineering,available
Software engineering for multi-agent systems IV,Alessandro Garcia; Carlos Lucena; Paolo Giorgini,Software Engineering,2006,Topics: software engineering,software engineering,available
Software engineering,Doug Bell,Software Engineering,1987,a programming approach,software engineering,unavailable
Computer-aided software engineering (CASE),Elliot J. Chikofsky,Software Engineering,1989,Topics: software engineering,software engineering,available
Software engineering,Charles D. Sigwart; Gretchen L. Van Meer; John C. Hansen,Software Engineering,1990,Topics: software engineering,software engineering,unavailable
Agile software engineering,Orit Hazzan,Software Engineering,2008,Topics: software engineering,software engineering,unavailable
Agent-oriented software engineering IV,Paolo Giorgini; Jörg P. Müller; James Odell,Software Engineering,2003,Topics: software engineering,software engineering,available
COTS-based software systems,John Dean,Software Engineering,2002,Topics: software engineering,software engineering,available
Agent-oriented software engineering VI,Jörg P. Müller; Franco Zambonelli,Software Engineering,2006,Topics: software engineering,software engineering,available
IEEE standard for software quality assurance plans,IEEE Computer Society. Software Engineering Standards Committee,Software Engineering,1998,Topics: software engineering,software engineering,unavailable
Information systems reengineering for modern business systems,Raul Valverde,Software Engineering,2012,Topics: software engineering,software engineering,available
The IFPUG guide to IT and software measurement,International Function Point Users Group,Software Engineering,2012,Topics: software engineering,software engineering,available
New approaches in software measurement,Reiner Dumke; Alain Abran,Software Engineering,2001,Topics: software engineering,software engineering,available
The best software writing I,Joel Spolsky,Software Engineering,2005,Topics: software engineering,software engineering,available
The rational unified process made easy,Per Kroll,Software Engineering,2003,Topics: software engineering,software engineering,available
Agile Processes in Software Engineering and Extreme Programming,Giovanni Cantone; Michele Marchesi,Software Engineering,2009,Topics: software engineering,software engineering,unavailable
"Database Design, Application Development, and Administration",Michael V. Mannino,Software Engineering,2003,Topics: software engineering,software engineering,unavailable
"Leadership, teamwork, and trust",Watts S. Humphrey,Software Engineering,2011,Topics: software engineering,software engineering,unavailable
Fundamentals of Computation Theory,Adrian Kosowski; Igor Walukiewicz,Software Engineering,2015,Topics: software engineering,software engineering,available
Software Engineering with Computational Intelligence,Jonathan Lee,Software Engineering,2010,Topics: software engineering,software engineering,available
Software Engineering Perspectives and Application in Intelligent Systems,Radek Silhavy; Roman Senkerik; Zuzana Kominkova Oplatkova,Software Engineering,2016,Topics: software engineering,software engineering,available
CASE method fast-track,Dai Clegg,Software Engineering,1994,Topics: software engineering,software engineering,available
Software and hardware engineering,Frederick M. Cady,Software Engineering,1997,Topics: software engineering,software engineering,unavailable
Second Software Engineering Standards Application Workshop,"Software Engineering Standards Application Workshop (2nd 1983 San Francisco, Calif.)",Software Engineering,1983,Topics: software engineering,software engineering,available
Software engineering with computational intelligence,[name missing],Software Engineering,2003,Topics: software engineering,software engineering,unavailable
Engineering design of multimedia software,David Bernstein,Software Engineering,2010,Topics: software engineering,software engineering,unavailable
Model-Driven Dependability Assessment of Software Systems,Simona Bernardi; José Merseguer; Dorina Corina Petriu,Software Engineering,2013,Topics: software engineering,software engineering,unavailable
Applying software engineering principles,David Marca,Software Engineering,1984,Topics: software engineering,software engineering,available
Software Process Automation,Alan M. Christie,Software Engineering,2011,Topics: software engineering,software engineering,available
Tools and Environments for Parallel and Distributed Systems,Amr Zaky,Software Engineering,1996,Topics: software engineering,software engineering,unavailable
Computer aided software engineering,Ronald J. Norman,Software Engineering,1996,Topics: software engineering,software engineering,available
Modelling Foundations and Applications,Andrzej Wąsowski; Henrik Lönn,Software Engineering,2016,Topics: software engineering,software engineering,unavailable
Software Engineering and Formal Methods : SEFM 2015 Collocated Workshops,Domenico Bianculli; Radu Calinescu; Bernhard Rumpe,Software Engineering,2016,Topics: software engineering,software engineering,available
"Leveraging Applications of Formal Methods, Verification and Validation : Discussion, Dissemination, Applications",Tiziana Margaria; Bernhard Steffen,Software Engineering,2016,Topics: software engineering,software engineering,available
Towards a Synergistic Combination of Research and Practice in Software Engineering,Piotr Kosiuczenko; Lech Madeyski,Software Engineering,2017,Topics: software engineering,software engineering,available
Open Source Systems : Towards Robust Practices,Federico Balaguer; Roberto Di Cosmo; Alejandra Garrido,Software Engineering,2017,Topics: software engineering,software engineering,available
Knowledge Engineering and Semantic Web,Pavel Klinov; Dmitry Mouromtsev,Software Engineering,2015,Topics: software engineering,software engineering,available
TRON Project 1987 Open-Architecture Computer Systems,Ken Sakamura,Software Engineering,1987,Topics: software engineering,software engineering,available
Case Technology,Raymond T. Yeh,Software Engineering,1992,Topics: software engineering,software engineering,available
Business Standard Compliance and Requirements Validation Using Goal Models,Novarun Deb; Nabendu Chaki,Software Engineering,2020,Topics: software engineering,software engineering,unavailable
Nordic Contributions in IS Research,Harri Oinas-Kukkonen; Netta Iivari; Kari Kuutti,Software Engineering,2015,Topics: software engineering,software engineering,available
Experimental Algorithms,Evripidis Bampis,Software Engineering,2015,Topics: software engineering,software engineering,unavailable
Software,David J. Leigh; David Hatter; Roy Newton,Software Engineering,1987,Topics: software engineering,software engineering,available
Software engineering with student project guidance,Barbee Teasley Mynatt,Software Engineering,1989,Topics: software engineering,software engineering,available
The design and implementation of multimedia software with examples in Java,David Bernstein,Software Engineering,2010,Topics: software engineering,software engineering,available
Computer systems and software engineering,P. Dewilde,Software Engineering,1992,Topics: software engineering,software engineering,available
CASE,Chantico Press Staff,Software Engineering,1989,Topics: software engineering,software engineering,available
Engineering Software As a Service,Armando Fox; David Patterson; Samuel Joseph,Software Engineering,2014,Topics: software engineering,software engineering,available
The ThoughtWorks anthology 2,ThoughtWorks (Firm),Software Engineering,2012,Topics: software engineering,software engineering,unavailable
CompTIA Network+ (Exam N10-005),Logical Operations,Software Engineering,2013,Topics: software engineering,software engineering,available
Automated practical reasoning,Dongming Wang,Software Engineering,1995,Topics: software engineering,software engineering,unavailable
Embedded Systems Security,David Kleidermacher; Mike Kleidermacher,Software Engineering,2012,Topics: software engineering,software engineering,available
Electrical Engineering and Applied Computing,Sio-Iong Ao,Software Engineering,2011,Topics: software engineering,software engineering,available
Hardware/software co-design,J. Staunstrup; Wayne Hendrix Wolf; Jørgen Staunstrup,Software Engineering,1997,Topics: software engineering,software engineering,available
Knowledge science,Yoshiteru Nakamori,Software Engineering,2011,Topics: software engineering,software engineering,unavailable
Agile Processes in Software Engineering and Extreme Programming,Viktoria Stray,Software Engineering,2020,Topics: software engineering,software engineering,unavailable
Introduction to C.A.S.E. technology using Visible Analyst Workbench,Raymond P. Wenig,Software Engineering,1991,Topics: software engineering,software engineering,available
Team Design,Peter H. Jones,Software Engineering,2002,Topics: software engineering,software engineering,available
Distributed software engineering,E. M. Sherratt; R. J. Gautier; P. A. M. Grandi,Software Engineering,1995,Topics: software engineering,software engineering,unavailable
Designing Maintainable Software,Dennis D. Smith,Software Engineering,1999,Topics: software engineering,software engineering,unavailable
Invasive Software Composition,Uwe Assman,Software Engineering,2003,Topics: software engineering,software engineering,unavailable
Visual Usability,Tania Schlatter; Deborah Levinson,Software Engineering,2013,Topics: software engineering,software engineering,available
PLDI'13,Hans-J Boehm,Software Engineering,2013,Topics: software engineering,software engineering,available
How to Implement the CMMI,Diane M. Burwick,Software Engineering,2008,Topics: software engineering,software engineering,available
Play in Practice,Will Sargent,Software Engineering,2018,Topics: software engineering,software engineering,unavailable
Testing Software and Systems,Burkhart Wolff; Fatiha Zaidi,Software Engineering,2011,Topics: software engineering,software engineering,unavailable
COTS-Based Software Systems,Xavier Franch; Dan Port,Software Engineering,2005,Topics: software engineering,software engineering,available
"International Journal of Software Innovation (IJSI) Volume 7, Issue 2",Lawrence Chung; Roger Y. Lee,Software Engineering,2019,Topics: software engineering,software engineering,available
Bad software,Cem Kaner,Software Engineering,1998,Topics: software engineering,software engineering,unavailable
Techniques of program and system maintenance,Girish Parikh,Software Engineering,1988,Topics: software engineering,software engineering,unavailable
Software engineering,Anneliese Von Mayrhauser,Software Engineering,1990,Topics: software engineering,software engineering,available
Lecture Notes in Engineering,Ghodratollah Karami,Software Engineering,1989,Topics: software engineering,software engineering,unavailable
Software development,Allen B. Tucker,Software Engineering,2011,Topics: software engineering,software engineering,available
Software engineering: international computer state of the art report,Infotech.,Software Engineering,1972,Topics: software engineering,software engineering,available
Business Rules Approach,Steve Hunter,Software Engineering,2005,Topics: software engineering,software engineering,available
A discipline of software engineering,Bob Walraet,Software Engineering,1991,Topics: software engineering,software engineering,available
Advanced Course on Software Engineering,Advanced Course on Software Engineering Munich 1972.,Software Engineering,1973,Topics: software engineering,software engineering,available
Software Fur Statik Und Konstruktion Ban,Katz,Software Engineering,1998,Topics: software engineering,software engineering,available
Software Engineering,Douglas Bell,Software Engineering,2000,Topics: software engineering,software engineering,available
Encyclopedia of Software Engineering (Online/Print Version),Phillip A. Laplante,Software Engineering,2010,Topics: software engineering,software engineering,available
Action focused assessment for software process improvement,Tim Kasse,Software Engineering,2002,Topics: software engineering,software engineering,available
IEEE Software Engineering Standards for Students (Practitioners),Richard H. Thayer,Software Engineering,2008,Topics: software engineering,software engineering,unavailable
Elements,P. Thomas Vernier,Software Engineering,1992,Topics: software engineering,software engineering,unavailable
Repository-based software engineering program (RBSE),Unknown,Software Engineering,1992,Topics: software engineering,software engineering,available
Repository-based software engineering program,Unknown,Software Engineering,1992,Topics: software engineering,software engineering,available
ASV3 dial-in interface recommendation for the Repository Based Software Engineering (RBSE) Program,Unknown,Software Engineering,1992,Topics: software engineering,software engineering,available
Building Software,Andy Podgurski,Software Engineering,2009,Topics: software engineering,software engineering,unavailable
Get Software Out on Time,Podd,Software Engineering,2002,Topics: software engineering,software engineering,unavailable
Software Reuse,Roy Rada,Software Engineering,1995,Topics: software engineering,software engineering,unavailable
Software engineering,Unknown,Software Engineering,1992,Topics: software engineering,software engineering,available
Software development environments,Unknown,Software Engineering,1981,Topics: software engineering,software engineering,available
Requirements engineering 1993,Unknown,Software Engineering,1993,Topics: software engineering,software engineering,available
"RBSE, product development team research activity deliverables [microform]",Unknown,Software Engineering,1992,Topics: software engineering,software engineering,available
High-Quality Software Engineering,David Drysdale,Software Engineering,2007,Topics: software engineering,software engineering,available
Reference model for frameworks of software engineering environments,Unknown,Software Engineering,1991,Topics: software engineering,software engineering,available
Concept document of the repository-based software engineering program [microform],Unknown,Software Engineering,1992,Topics: software engineering,software engineering,unavailable
Software Engineering Education,James E. Tomayko,Software Engineering,1991,Topics: software engineering,software engineering,available
Software Engineering Theory Practice,Shull,Software Engineering,2001,Topics: software engineering,software engineering,available
Software Tools for Developing Agents,Brian Logan,Software Engineering,1998,Topics: software engineering,software engineering,available
Software engineering methodology,Ray Turner,Software Engineering,1984,Topics: software engineering,software engineering,unavailable
Software Engineering Education,Norman E. Gibbs; Richard E. Fairley,Software Engineering,2013,Topics: software engineering,software engineering,available
Software Engineering and Middleware,Thomas Gschwind; Cecilia Mascolo,Software Engineering,2005,Topics: software engineering,software engineering,available
Refinement Techniques in Software Engineering,Ana Cavalcanti; Augusto Sampaio; Jim Woodcock,Software Engineering,2006,Topics: software engineering,software engineering,unavailable
Software engineering process group handbook,Reliability Analysis Center (U.S.),Software Engineering,1996,Topics: software engineering,software engineering,unavailable
"Professional awareness in software engineering, or, Should a software engineer wear a suit?",Colin Myers,Software Engineering,1995,Topics: software engineering,software engineering,available
"Tutorial, automated tools for software engineering",Unknown,Software Engineering,1979,Topics: software engineering,software engineering,available
Software Engineering Measurement,Munson,Software Engineering,2019,Topics: software engineering,software engineering,available
"Dependable Software Engineering : Theories, Tools, and Applications",Martin änzle; Deepak Kapur; Naijun Zhan,Software Engineering,2016,Topics: software engineering,software engineering,available
Software Engineering for Resilient Systems,Ivica Crnkovic; Elena Troubitsyna,Software Engineering,2016,Topics: software engineering,software engineering,available
Component-Based Software Engineering,Thomas Jell; Sigs Books Staff,Software Engineering,1997,Topics: software engineering,software engineering,unavailable
Inside Cisco IOS Software Architecture,Vijay Bollapragada; Russ White; Curtis Murphy,Software Architecture,2000,Topics: software architecture,software architecture,available
Software architecture,"ECSA 2007 (2007 Madrid, Spain)",Software Architecture,2007,Topics: software architecture,software architecture,available
A strategy for analyzing product line software architectures,Liliana Dobrica,Software Architecture,2000,Topics: software architecture,software architecture,available
Software architecture,Vasudeva Varma,Software Architecture,2009,Topics: software architecture,software architecture,unavailable
IPv6 in Practice,Benedikt Stockebrand,Software Architecture,2006,Topics: software architecture,software architecture,available
Service-oriented architecture compass,Norbert Bieberstein,Software Architecture,2005,Topics: software architecture,software architecture,available
.NET 4 for enterprise architects and developers,Sudhanshu Hate,Software Architecture,2011,Topics: software architecture,software architecture,unavailable
Effective REST services via .NET,Kenn Scribner,Software Architecture,2009,Topics: software architecture,software architecture,available
Model-Driven Design Using Business Patterns,Pavel Hruby,Software Architecture,2006,Topics: software architecture,software architecture,available
Model-driven software development,Volker Gruhn,Software Architecture,2005,Topics: software architecture,software architecture,available
"Form+code in design, art, and architecture",Casey Reas,Software Architecture,2010,Topics: software architecture,software architecture,available
Haptic Systems Architecture Modeling,Schahram Dustdar,Software Architecture,2011,Topics: software architecture,software architecture,available
Software architecture,"ECSA 2008 (2008 Paphos, Cyprus)",Software Architecture,2008,Topics: software architecture,software architecture,unavailable
Software architecture,Unknown,Software Architecture,2004,Topics: software architecture,software architecture,unavailable
Requirements modelling and specification for service oriented architecture,Ian Graham (programmer); Ian Graham,Software Architecture,2008,Topics: software architecture,software architecture,available
Architecture-based design of multi-agent systems,Danny Weyns,Software Architecture,2010,Topics: software architecture,software architecture,available
DevOps,Knowledge Powerhouse,Software Architecture,2017,Topics: software architecture,software architecture,unavailable
AutoCAD 2013 for the Interior Designer,Dean Muccio,Software Architecture,2012,Topics: software architecture,software architecture,available
Computer architecture,William F. Gilreath; Phillip A. Laplante,Software Architecture,2003,Topics: software architecture,software architecture,available
Software Architect Bootcamp,Unknown,Software Architecture,2000,Topics: software architecture,software architecture,available
BitTorrent for dummies,Susannah Gardner,Software Architecture,2006,Topics: software architecture,software architecture,unavailable
Service-Oriented Computing,Chengfei Liu; Heiko Ludwig; Farouk Toumani,Software Architecture,2008,Topics: software architecture,software architecture,unavailable
Relating Software Requirements and Architectures,Paris Avgeriou,Software Architecture,2011,Topics: software architecture,software architecture,unavailable
Interaction between Compilers and Computer Architectures,Gyungho Lee,Software Architecture,2001,Topics: software architecture,software architecture,available
Programmed visions,Wendy Hui Kyong Chun,Software Architecture,2011,Topics: software architecture,software architecture,available
Model driven architecture - foundations and applications,Richard F. Paige,Software Architecture,2007,Topics: software architecture,software architecture,available
Quality-driven software architecture model transformation,Mari Matinlassi,Software Architecture,2006,Topics: software architecture,software architecture,available
Theory and Practice of Model Transformations,Dimitris Kolovos; Manuel Wimmer,Software Architecture,2015,Topics: software architecture,software architecture,available
Theory and Practice of Model Transformations,Pieter Van Gorp; Gregor Engels,Software Architecture,2016,Topics: software architecture,software architecture,unavailable
"Computer hardware, system software, and architecture",Thom Luce,Software Architecture,1989,Topics: software architecture,software architecture,available
